doi,polymer(s),is_solvent_blend,solvent(s),solvent_components,solution_concentration,solution_concentration_unit,needle_type,needle_diameter_g,collector_type,rotation_speed_rpm,voltage_kv,flow_rate_ml/h,tip_collector_distance_cm,temperature_c,humidity_%,was_formation_stable,fiber_diameter_nm,fiber_diameter_variation_nm,tail_observation
https://doi.org/10.1016/j.jafr.2019.100015,CA,FALSE,ACETONE,"[{""solventName"": ""ACETONE"", ""weight"": null, ""weightUnit"": ""gram"", ""volumeRatio"": 100.0, ""volumeRatioUnit"": ""v/v""}]",15,wt%,Single Needle,22,Flat,,12,2,6,23,45,TRUE,1346,812,TRUE
https://doi.org/10.1016/j.jafr.2019.100015,CA,FALSE,ACETONE,"[{""solventName"": ""ACETONE"", ""weight"": null, ""weightUnit"": ""gram"", ""volumeRatio"": 100.0, ""volumeRatioUnit"": ""v/v""}]",12,wt%,Single Needle,22,Flat,,16,2,6,23,45,TRUE,488,221,FALSE
https://doi.org/10.1016/j.jafr.2019.100015,CA,FALSE,ACETONE,"[{""solventName"": ""ACETONE"", ""weight"": null, ""weightUnit"": ""gram"", ""volumeRatio"": 100.0, ""volumeRatioUnit"": ""v/v""}]",15,wt%,Single Needle,22,Flat,,16,2,10,23,45,TRUE,823,519,FALSE
https://doi.org/10.1016/j.jafr.2019.100015,CA,FALSE,ACETONE,"[{""solventName"": ""ACETONE"", ""weight"": null, ""weightUnit"": ""gram"", ""volumeRatio"": 100.0, ""volumeRatioUnit"": ""v/v""}]",9,wt%,Single Needle,22,Flat,,12,2,6,23,45,TRUE,452,236,FALSE
https://doi.org/10.1016/j.jafr.2019.100015,CA,FALSE,ACETONE,"[{""solventName"": ""ACETONE"", ""weight"": null, ""weightUnit"": ""gram"", ""volumeRatio"": 100.0, ""volumeRatioUnit"": ""v/v""}]",12,wt%,Single Needle,22,Flat,,12,2,10,23,45,TRUE,801,382,FALSE
https://doi.org/10.1016/j.jafr.2019.100015,CA,FALSE,ACETONE,"[{""solventName"": ""ACETONE"", ""weight"": null, ""weightUnit"": ""gram"", ""volumeRatio"": 100.0, ""volumeRatioUnit"": ""v/v""}]",15,wt%,Single Needle,22,Flat,,8,2,10,23,45,TRUE,749,336,FALSE
https://doi.org/10.1016/j.jafr.2019.100015,CA,FALSE,ACETONE,"[{""solventName"": ""ACETONE"", ""weight"": null, ""weightUnit"": ""gram"", ""volumeRatio"": 100.0, ""volumeRatioUnit"": ""v/v""}]",12,wt%,Single Needle,22,Flat,,12,2,10,23,45,TRUE,666,449,FALSE
https://doi.org/10.1016/j.jafr.2019.100015,CA,FALSE,ACETONE,"[{""solventName"": ""ACETONE"", ""weight"": null, ""weightUnit"": ""gram"", ""volumeRatio"": 100.0, ""volumeRatioUnit"": ""v/v""}]",12,wt%,Single Needle,22,Flat,,8,2,14,23,45,TRUE,977,464,FALSE
https://doi.org/10.1016/j.jafr.2019.100015,CA,FALSE,ACETONE,"[{""solventName"": ""ACETONE"", ""weight"": null, ""weightUnit"": ""gram"", ""volumeRatio"": 100.0, ""volumeRatioUnit"": ""v/v""}]",9,wt%,Single Needle,22,Flat,,8,2,10,23,45,TRUE,404,171,FALSE
https://doi.org/10.1016/j.jafr.2019.100015,CA,FALSE,ACETONE,"[{""solventName"": ""ACETONE"", ""weight"": null, ""weightUnit"": ""gram"", ""volumeRatio"": 100.0, ""volumeRatioUnit"": ""v/v""}]",12,wt%,Single Needle,22,Flat,,16,2,14,23,45,TRUE,1104,531,FALSE
https://doi.org/10.1016/j.jafr.2019.100015,CA,FALSE,ACETONE,"[{""solventName"": ""ACETONE"", ""weight"": null, ""weightUnit"": ""gram"", ""volumeRatio"": 100.0, ""volumeRatioUnit"": ""v/v""}]",9,wt%,Single Needle,22,Flat,,12,2,14,23,45,TRUE,562,400,FALSE
https://doi.org/10.1016/j.jafr.2019.100015,CA,FALSE,ACETONE,"[{""solventName"": ""ACETONE"", ""weight"": null, ""weightUnit"": ""gram"", ""volumeRatio"": 100.0, ""volumeRatioUnit"": ""v/v""}]",15,wt%,Single Needle,22,Flat,,12,2,14,23,45,TRUE,1149,523,FALSE
https://doi.org/10.1016/j.jafr.2019.100015,CA,FALSE,ACETONE,"[{""solventName"": ""ACETONE"", ""weight"": null, ""weightUnit"": ""gram"", ""volumeRatio"": 100.0, ""volumeRatioUnit"": ""v/v""}]",9,wt%,Single Needle,22,Flat,,16,2,10,23,45,TRUE,478,337,FALSE
https://doi.org/10.1016/j.jafr.2019.100015,CA,FALSE,ACETONE,"[{""solventName"": ""ACETONE"", ""weight"": null, ""weightUnit"": ""gram"", ""volumeRatio"": 100.0, ""volumeRatioUnit"": ""v/v""}]",12,wt%,Single Needle,22,Flat,,8,2,6,23,45,TRUE,756,470,FALSE
https://doi.org/10.1016/j.jafr.2019.100015,CA,FALSE,ACETONE,"[{""solventName"": ""ACETONE"", ""weight"": null, ""weightUnit"": ""gram"", ""volumeRatio"": 100.0, ""volumeRatioUnit"": ""v/v""}]",12,wt%,Single Needle,22,Flat,,12,2,10,23,45,TRUE,653,403,FALSE
